Price,Close,High,Low,Open,Volume
Ticker,7287.T,7287.T,7287.T,7287.T,7287.T
Date,,,,,
2022-01-04,1043.977294921875,1051.0371582856746,1036.0349486376003,1050.1546753651996,37200
2022-01-05,1070.4517822265625,1071.3342651467822,1038.6823970986513,1044.8597775401895,66200
2022-01-06,1069.5693359375,1072.2167847888304,1051.9196769286302,1051.9196769286302,24300
2022-01-07,1072.216796875,1074.864245756173,1062.5094843106997,1072.216796875,31900
2022-01-11,1103.986083984375,1111.92842991232,1071.3342173917117,1073.9816660343602,54600
2022-01-12,1079.2767333984375,1089.8665296378335,1054.567208839847,1059.862106959545,106700
2022-01-13,1081.924072265625,1093.3963503565328,1071.334277104787,1073.9817258949963,34800
2022-01-14,1070.4517822265625,1084.5715089500786,1066.0393676254637,1079.2766114287601,28300
2022-01-17,1059.8619384765625,1078.3940789495082,1059.8619384765625,1075.746630310516,15400
2022-01-18,1041.3297119140625,1068.6866789219744,1041.3297119140625,1061.6268164683197,37600
2022-01-19,1021.9151611328125,1038.6823356246289,1021.0326782648222,1032.5049555486964,49700
2022-01-20,1008.677978515625,1042.2123295073957,1006.0305297531169,1027.2101198531825,37100
2022-01-21,989.2632446289062,1015.7377293201348,984.8508305137015,1008.6778667358071,30100
2022-01-24,966.318603515625,989.2631548319778,966.318603515625,988.3806720890411,60900
2022-01-25,943.374267578125,968.966272966119,939.8443358004706,967.2013070772919,56800
2022-01-26,943.374267578125,958.3764776331559,942.4917846337114,948.6691652446065,33700
2022-01-27,896.6026611328125,946.9041883814053,881.6004512516532,940.7268078421044,107900
2022-01-28,906.3099365234375,922.1946286923001,893.0726930493853,904.5449707268972,71000
2022-01-31,901.8974609375,909.8398064839164,894.8375982295744,906.3098751299535,39800
2022-02-01,893.9551391601562,913.3697621231606,891.307690574292,907.1923820894774,28300
2022-02-02,910.722412109375,910.722412109375,893.0727529599685,904.5450314070827,37600
2022-02-03,908.0748901367188,917.7822018874514,903.6624757045676,908.0748901367188,72500
2022-02-04,937.1968383789062,939.8442870748918,901.8975224324314,908.9573856217263,53500
2022-02-07,920.4296264648438,943.3741809117142,911.604797831432,943.3741809117142,75100
2022-02-08,906.3099365234375,922.1946286923001,903.662487828627,921.3121457940299,22900
2022-02-09,908.9573364257812,912.4872678293765,895.720093662299,906.3098878730848,71000
2022-02-10,868.3631591796875,902.7799917081508,860.4208132115806,895.7201286253891,164400
2022-02-14,859.538330078125,869.2456418141203,851.5959841123107,855.1259156526727,88100
2022-02-15,858.6558837890625,871.8931276295928,856.0084350209565,861.3033325571686,30600
2022-02-16,854.243408203125,871.0105825376904,851.595959623983,870.1280996779765,61700
2022-02-17,853.3609619140625,863.0682737869216,851.5959961189973,854.2434448115952,28300
2022-02-18,855.1258544921875,859.5382686020542,847.1835090944272,851.5959232042941,25000
2022-02-21,868.3631591796875,871.0106078357231,843.6536383900217,851.5959843581285,38500
2022-02-22,857.7733154296875,868.3631094473379,856.8908325948832,867.4806266125337,21500
2022-02-24,850.7135009765625,863.9507442490194,842.7711550130883,858.6558469400366,64300
2022-02-25,845.4186401367188,855.1259522886016,843.6536742909218,851.5960205970079,32300
2022-02-28,857.7733154296875,859.5382810992959,844.5360729076243,847.183521412037,69400
2022-03-01,851.595947265625,863.9507071223284,851.595947265625,857.7733271939767,40200
2022-03-02,807.4718017578125,851.5959439303706,796.8820076363986,848.9484954000171,106700
2022-03-03,811.88427734375,828.6514526367188,811.88427734375,817.1791748046875,55700
2022-03-04,808.3543090820312,818.9441035241539,803.0594118609699,813.6492063030926,57200
2022-03-07,765.9951782226562,795.9995976461244,757.1703489804597,795.9995976461244,85500
2022-03-08,746.5804443359375,770.4074797934674,746.5804443359375,754.5227894884474,111600
2022-03-09,733.34326171875,768.6425763622518,730.6958131204874,750.1104361744134,115000
2022-03-10,744.8155517578125,757.1703120950274,743.9330688765829,746.5805175202718,60300
2022-03-11,728.0484008789062,740.4031616210938,718.3410888671875,739.5206787109375,91100
2022-03-14,728.0484008789062,734.2257812500001,722.7535034179688,730.695849609375,61100
2022-03-15,735.1082153320312,744.8155266989609,728.9308353712579,729.813318222797,43300
2022-03-16,744.8155517578125,748.345483282731,736.8732058267458,746.5805175202718,39700
2022-03-17,761.5827026367188,765.1126340510257,744.8155284187608,750.1104255402212,56100
