Price,Close,High,Low,Open,Volume
Ticker,8107.T,8107.T,8107.T,8107.T,8107.T
Date,,,,,
2022-01-04,18.0,19.0,18.0,19.0,110000
2022-01-05,19.0,19.0,18.0,19.0,124600
2022-01-06,19.0,19.0,18.0,18.0,114500
2022-01-07,18.0,19.0,18.0,19.0,84900
2022-01-11,19.0,19.0,18.0,18.0,74700
2022-01-12,20.0,20.0,19.0,19.0,917600
2022-01-13,19.0,20.0,19.0,20.0,114300
2022-01-14,20.0,20.0,19.0,19.0,104100
2022-01-17,20.0,20.0,19.0,19.0,200100
2022-01-18,20.0,20.0,19.0,20.0,49900
2022-01-19,19.0,20.0,19.0,19.0,60500
2022-01-20,19.0,19.0,18.0,19.0,789500
2022-01-21,19.0,19.0,18.0,18.0,57100
2022-01-24,18.0,19.0,18.0,19.0,171600
2022-01-25,18.0,19.0,18.0,19.0,99700
2022-01-26,18.0,19.0,18.0,18.0,103900
2022-01-27,17.0,19.0,17.0,18.0,969200
2022-01-28,17.0,18.0,17.0,17.0,97600
2022-01-31,18.0,18.0,17.0,17.0,89100
2022-02-01,17.0,18.0,17.0,18.0,55600
2022-02-02,19.0,19.0,17.0,17.0,457200
2022-02-03,18.0,18.0,17.0,18.0,284800
2022-02-04,19.0,19.0,17.0,18.0,169500
2022-02-07,19.0,19.0,18.0,18.0,83300
2022-02-08,18.0,19.0,17.0,19.0,478400
2022-02-09,19.0,19.0,17.0,18.0,308700
2022-02-10,19.0,19.0,18.0,19.0,79400
2022-02-14,19.0,19.0,18.0,18.0,202000
2022-02-15,18.0,19.0,17.0,18.0,439500
2022-02-16,18.0,19.0,17.0,18.0,311500
2022-02-17,18.0,19.0,17.0,18.0,328500
2022-02-18,18.0,19.0,18.0,18.0,127100
2022-02-21,18.0,19.0,18.0,18.0,131000
2022-02-22,18.0,19.0,18.0,18.0,84200
2022-02-24,18.0,18.0,17.0,18.0,271800
2022-02-25,18.0,18.0,17.0,18.0,94200
2022-02-28,18.0,19.0,17.0,18.0,507200
2022-03-01,18.0,19.0,18.0,19.0,111500
2022-03-02,18.0,19.0,18.0,18.0,134400
2022-03-03,19.0,19.0,18.0,18.0,95200
2022-03-04,19.0,20.0,18.0,19.0,2078000
2022-03-07,18.0,21.0,18.0,20.0,1226800
2022-03-08,18.0,20.0,18.0,19.0,1316300
2022-03-09,18.0,19.0,17.0,19.0,1880100
2022-03-10,18.0,19.0,17.0,18.0,1614300
2022-03-11,18.0,18.0,17.0,18.0,105200
2022-03-14,18.0,18.0,17.0,18.0,203100
2022-03-15,17.0,18.0,17.0,17.0,169900
2022-03-16,19.0,21.0,17.0,18.0,3367400
2022-03-17,18.0,19.0,18.0,19.0,640900
2022-03-18,18.0,19.0,18.0,18.0,316500
2022-03-22,18.0,19.0,18.0,18.0,134800
2022-03-23,18.0,19.0,18.0,18.0,330800
2022-03-24,19.0,19.0,18.0,18.0,102500
2022-03-25,18.0,19.0,18.0,18.0,136200
2022-03-28,19.0,19.0,18.0,19.0,175100
2022-03-29,19.0,19.0,18.0,18.0,225300
2022-03-30,19.0,19.0,18.0,19.0,635800
2022-03-31,18.0,19.0,18.0,19.0,176800
2022-04-01,19.0,19.0,18.0,19.0,158600
2022-04-04,19.0,20.0,18.0,19.0,254800
2022-04-05,19.0,20.0,19.0,19.0,95000
2022-04-06,19.0,20.0,19.0,20.0,75100
2022-04-07,20.0,20.0,19.0,19.0,71500
2022-04-08,20.0,20.0,19.0,20.0,370900
2022-04-11,20.0,20.0,19.0,20.0,84700
2022-04-12,20.0,20.0,19.0,20.0,114300
2022-04-13,20.0,21.0,19.0,20.0,1025200
2022-04-14,20.0,21.0,19.0,20.0,1846700
2022-04-15,20.0,21.0,19.0,20.0,560200
2022-04-18,20.0,21.0,20.0,20.0,155400
2022-04-19,21.0,22.0,20.0,20.0,1245500
2022-04-20,22.0,23.0,21.0,21.0,1450700
2022-04-21,22.0,22.0,21.0,21.0,288600
2022-04-22,21.0,22.0,21.0,21.0,372700
2022-04-25,21.0,22.0,21.0,22.0,376000
2022-04-26,22.0,23.0,21.0,21.0,1256600
2022-04-27,23.0,23.0,21.0,23.0,708100
2022-04-28,23.0,23.0,22.0,22.0,137500
2022-05-02,22.0,23.0,21.0,22.0,272000
2022-05-06,21.0,23.0,21.0,22.0,1544900
2022-05-09,21.0,22.0,21.0,21.0,153700
2022-05-10,22.0,22.0,20.0,21.0,612700
2022-05-11,22.0,22.0,21.0,21.0,629600
2022-05-12,21.0,22.0,20.0,21.0,558300
2022-05-13,22.0,22.0,21.0,21.0,147800
2022-05-16,22.0,22.0,21.0,21.0,160800
2022-05-17,21.0,22.0,21.0,21.0,123700
2022-05-18,22.0,22.0,21.0,21.0,92400
2022-05-19,21.0,22.0,20.0,21.0,925500
2022-05-20,22.0,22.0,21.0,21.0,124100
2022-05-23,22.0,22.0,21.0,21.0,102200
2022-05-24,21.0,22.0,21.0,21.0,119200
2022-05-25,22.0,23.0,22.0,22.0,1838300
2022-05-26,22.0,23.0,22.0,22.0,312800
2022-05-27,23.0,23.0,21.0,22.0,753200
2022-05-30,23.0,23.0,22.0,22.0,457700
2022-05-31,23.0,23.0,22.0,22.0,222600
2022-06-01,22.0,23.0,22.0,22.0,177800
2022-06-02,22.0,23.0,22.0,22.0,53900
2022-06-03,23.0,23.0,22.0,22.0,128300
2022-06-06,23.0,24.0,22.0,22.0,1728600
2022-06-07,23.0,24.0,23.0,23.0,82200
2022-06-08,24.0,24.0,23.0,23.0,190100
2022-06-09,23.0,24.0,23.0,24.0,202400
2022-06-10,23.0,24.0,23.0,23.0,1573000
2022-06-13,22.0,24.0,22.0,24.0,930700
2022-06-14,23.0,24.0,23.0,24.0,510500
2022-06-15,22.0,24.0,22.0,23.0,613800
2022-06-16,22.0,23.0,22.0,22.0,236800
2022-06-17,22.0,23.0,22.0,22.0,197900
2022-06-20,22.0,23.0,22.0,22.0,219100
2022-06-21,23.0,23.0,22.0,22.0,201100
2022-06-22,22.0,23.0,22.0,22.0,55900
2022-06-23,22.0,23.0,22.0,22.0,96300
2022-06-24,23.0,23.0,22.0,22.0,71000
2022-06-27,22.0,24.0,22.0,23.0,604100
2022-06-28,22.0,23.0,22.0,23.0,78100
2022-06-29,23.0,23.0,22.0,23.0,193400
2022-06-30,22.0,23.0,22.0,22.0,191100
2022-07-01,22.0,23.0,22.0,22.0,124100
2022-07-04,22.0,23.0,22.0,22.0,120500
2022-07-05,22.0,23.0,22.0,22.0,229600
2022-07-06,22.0,23.0,22.0,22.0,184000
2022-07-07,22.0,23.0,22.0,22.0,315700
2022-07-08,22.0,23.0,22.0,22.0,363200
2022-07-11,21.0,23.0,21.0,22.0,1071500
2022-07-12,21.0,22.0,21.0,21.0,224800
2022-07-13,21.0,22.0,21.0,21.0,180000
2022-07-14,21.0,22.0,21.0,21.0,250900
2022-07-15,22.0,22.0,20.0,21.0,1605400
2022-07-19,22.0,23.0,22.0,22.0,222100
2022-07-20,22.0,23.0,21.0,22.0,223100
2022-07-21,22.0,23.0,21.0,21.0,595000
2022-07-22,22.0,23.0,22.0,22.0,152600
2022-07-25,22.0,23.0,21.0,22.0,573000
2022-07-26,22.0,23.0,22.0,22.0,288600
2022-07-27,22.0,23.0,22.0,22.0,107500
2022-07-28,23.0,23.0,21.0,22.0,634600
2022-07-29,22.0,23.0,22.0,22.0,107200
2022-08-01,22.0,23.0,22.0,22.0,122800
2022-08-02,22.0,23.0,22.0,22.0,266400
2022-08-03,22.0,22.0,21.0,22.0,158700
2022-08-04,21.0,22.0,21.0,21.0,198700
2022-08-05,22.0,22.0,21.0,21.0,668200
2022-08-08,21.0,22.0,21.0,21.0,264300
