Price,Close,High,Low,Open,Volume
Ticker,8209.T,8209.T,8209.T,8209.T,8209.T
Date,,,,,
2022-01-04,395.0,395.0,388.0,390.0,1200
2022-01-05,393.0,394.0,387.0,387.0,700
2022-01-06,388.0,388.0,387.0,387.0,3100
2022-01-07,380.0,388.0,380.0,383.0,1500
2022-01-11,384.0,384.0,377.0,379.0,1200
2022-01-12,377.0,384.0,377.0,384.0,600
2022-01-13,373.0,379.0,373.0,379.0,1800
2022-01-14,368.0,368.0,368.0,368.0,300
2022-01-17,366.0,368.0,361.0,365.0,600
2022-01-18,361.0,369.0,361.0,368.0,400
2022-01-19,356.0,366.0,356.0,366.0,1000
2022-01-20,361.0,361.0,356.0,356.0,1200
2022-01-21,359.0,359.0,355.0,355.0,500
2022-01-24,359.0,359.0,359.0,359.0,100
2022-01-25,359.0,359.0,359.0,359.0,0
2022-01-26,355.0,355.0,355.0,355.0,100
2022-01-27,354.0,355.0,351.0,355.0,1200
2022-01-28,350.0,358.0,350.0,358.0,3100
2022-01-31,350.0,358.0,350.0,358.0,1100
2022-02-01,342.0,350.0,329.0,350.0,2600
2022-02-02,334.0,340.0,333.0,333.0,1100
2022-02-03,333.0,339.0,331.0,337.0,1400
2022-02-04,335.0,339.0,332.0,339.0,1300
2022-02-07,341.0,357.0,335.0,335.0,2200
2022-02-08,358.0,359.0,342.0,342.0,900
2022-02-09,368.0,368.0,350.0,358.0,1700
2022-02-10,373.0,442.0,370.0,370.0,28900
2022-02-14,356.0,373.0,356.0,373.0,4800
2022-02-15,360.0,365.0,350.0,356.0,1400
2022-02-16,376.0,378.0,361.0,368.0,1200
2022-02-17,456.0,456.0,381.0,381.0,136800
2022-02-18,498.0,536.0,477.0,496.0,233700
2022-02-21,418.0,450.0,418.0,434.0,100500
2022-02-22,352.0,390.0,352.0,386.0,73400
2022-02-24,316.0,352.0,313.0,352.0,34600
2022-02-25,329.0,339.0,318.0,318.0,13500
2022-02-28,340.0,340.0,321.0,338.0,6900
