Price,Close,High,Low,Open,Volume
Ticker,8707.T,8707.T,8707.T,8707.T,8707.T
Date,,,,,
2022-01-04,1161.3797607421875,1162.2250152987685,1153.7724697329593,1157.153487959283,39400
2022-01-05,1174.058349609375,1177.4393671748448,1158.8437705647611,1161.3795337388635,69000
2022-01-06,1166.451171875,1175.748971071105,1165.6059174026268,1165.6059174026268,63600
2022-01-07,1178.2847900390625,1182.5110626001783,1174.9037719901698,1176.5942810146162,97400
2022-01-11,1205.3330078125,1205.3330078125,1173.2133343925316,1184.2016437204154,94100
2022-01-12,1207.86865234375,1212.9401792255292,1201.1066165013776,1206.178143383157,62700
2022-01-13,1211.249755859375,1215.4760285595125,1201.9519559190728,1209.5592467793201,53900
2022-01-14,1210.4041748046875,1211.249429116702,1190.1180713163408,1207.8684118686442,99800
2022-01-17,1196.8802490234375,1212.9400828733283,1196.8802490234375,1210.4043196338719,39600
2022-01-18,1182.510986328125,1202.797093313025,1182.510986328125,1200.2613299399125,49900
2022-01-19,1152.081787109375,1176.5941655585107,1150.391278250814,1168.1416212657052,77900
2022-01-20,1156.30810546875,1172.367940266927,1152.0818331534401,1152.0818331534401,45400
2022-01-21,1154.61767578125,1156.3081848233894,1136.8673308387856,1143.6293670073435,63400
2022-01-24,1160.5343017578125,1167.2963370193293,1141.9387047886414,1141.9387047886414,35200
2022-01-25,1154.61767578125,1154.61767578125,1143.6293670073435,1152.0819122180408,55500
2022-01-26,1154.61767578125,1162.2249664708775,1150.3914031759014,1152.9271667391106,63300
2022-01-27,1137.7125244140625,1167.2964310667314,1131.7957430835288,1157.9986318330355,87300
2022-01-28,1154.61767578125,1159.6892029076682,1146.1651305705527,1159.6892029076682,39300
2022-01-31,1146.1650390625,1149.5460568768437,1123.3431688156802,1149.5460568768437,108500
2022-02-01,1156.30810546875,1166.4511590254933,1144.4745429858826,1160.5343777840596,121600
2022-02-02,1174.058349609375,1177.4393671748448,1153.7722442165564,1153.7722442165564,103200
2022-02-03,1179.1300048828125,1183.3562773017472,1169.832205561156,1176.5942414314516,51000
2022-02-04,1183.3560791015625,1185.8918421282087,1172.3677726527621,1178.28455304827,43600
2022-02-07,1190.1181640625,1197.7254534634678,1177.4393483942206,1177.4393483942206,54500
2022-02-08,1199.416015625,1201.9517788715646,1190.1182170542636,1191.8087258853066,34900
2022-02-09,1195.18994140625,1204.4877415161995,1194.3446868508001,1200.2614687389498,72700
2022-02-10,1201.1065673828125,1202.7970762742732,1195.1897862627002,1198.5708040456216,45600
2022-02-14,1193.4993896484375,1195.189898698931,1184.2015898707232,1191.808880597944,41500
2022-02-15,1171.5228271484375,1200.261482359871,1168.987063453311,1196.0352095346602,71900
2022-02-16,1185.89208984375,1197.7256531066241,1179.1300536935362,1191.808871475187,99400
2022-02-17,1190.9635009765625,1195.1897731588783,1185.0467199213206,1191.8087554130257,33000
2022-02-18,1194.3446044921875,1199.4161314751693,1183.3562960290606,1183.3562960290606,43800
2022-02-21,1196.8802490234375,1199.416012262894,1184.2014328261553,1193.499231370829,24100
2022-02-22,1185.89208984375,1188.42785340008,1177.4395446559827,1186.7373443625268,84100
2022-02-24,1165.6060791015625,1185.8921892527137,1157.1535332052495,1182.5111708941886,60300
2022-02-25,1175.7490234375,1178.2847869675593,1158.8439332371045,1166.4512238272825,46500
2022-02-28,1186.7373046875,1190.9635771400908,1179.1300142728364,1181.665777744391,55200
