Price,Close,High,Low,Open,Volume
Ticker,8715.T,8715.T,8715.T,8715.T,8715.T
Date,,,,,
2022-01-04,811.5226440429688,818.3750668515343,803.6913036903225,817.3961493074535,176300
2022-01-05,798.7968139648438,810.5438259349149,783.134131338082,810.5438259349149,456900
2022-01-06,773.3449096679688,792.9232618114615,767.4714040249208,791.944344204287,308300
2022-01-07,786.0708618164062,788.0286970886763,770.4081796382462,782.1551912718663,185700
2022-01-11,771.3870849609375,789.9865197506048,761.5979087558494,789.9865197506048,196300
2022-01-12,780.197265625,782.1551006704831,758.6610801246864,763.555667738394,155200
2022-01-13,767.471435546875,771.3871061363999,753.7665884835379,765.5136002521126,289800
2022-01-14,742.9984741210938,751.8087327075099,736.1460507761034,746.9141446039454,216600
2022-01-17,718.5255126953125,741.0406173165552,713.6309247341727,736.1460293554155,280800
2022-01-18,710.6942138671875,726.3568962664643,707.7574609173231,725.3779786165095,247600
2022-01-19,681.3267211914062,709.7153345743815,676.4321326771002,704.8207460600754,383300
2022-01-20,678.389892578125,690.136903705019,668.6007166390467,675.4531397964015,263000
2022-01-21,672.5164184570312,679.3688419347593,662.7272420602768,675.4531713760575,238900
2022-01-24,677.4110107421875,682.3055989700935,662.7272460584695,664.6850813496319,259500
2022-01-25,666.6428833007812,680.3477296535139,661.7482953176624,677.4109768636426,284900
2022-01-26,686.2212524414062,694.0525934107803,668.6007352603144,669.5796528814863,331400
2022-01-27,682.3056030273438,705.799626660997,675.4531794675282,696.989367798377,431800
2022-01-28,697.96826171875,699.9260969549877,684.2634150650858,692.0947560100368,366500
2022-01-31,708.7363891601562,715.5888128122572,698.9472125142977,700.9050478434694,313800
2022-02-01,705.799560546875,721.4622415021455,699.9260551886485,710.694148345397,226100
2022-02-02,737.1249389648438,742.9984444546035,709.7152466792985,716.5676697506848,403700
2022-02-03,740.061767578125,748.8720267159598,738.1039322141618,741.0406852601067,313100
2022-02-04,741.0406494140625,743.9774023179492,724.3990496253715,730.2725554331448,238200
2022-02-07,749.8508911132812,751.8087263381201,737.1249621518286,740.061714989087,248400
2022-02-08,720.4833374023438,737.1249362282131,705.799573732459,733.2092659162438,585000
2022-02-09,769.4292602539062,780.1973542269253,742.0195665044032,742.9984841383141,792500
2022-02-10,803.69140625,811.5227476020098,777.2606291869671,778.2395468559683,652300
2022-02-14,796.8389892578125,804.6703306755796,789.9865655172662,790.9654831944871,380100
2022-02-15,783.1340942382812,789.9865175628662,754.7454833221435,767.4714123535157,514600
2022-02-16,792.9232788085938,798.7967845775463,784.1130201551649,794.8811140649112,219200
2022-02-17,774.3238525390625,788.0286994866565,769.4292643434932,783.1341112910872,240200
2022-02-18,764.5346069335938,771.3870297870318,754.7454314286822,754.7454314286822,330400
2022-02-21,753.7665405273438,765.5135515485491,753.7665405273438,760.6189636230469,180200
2022-02-22,726.3568725585938,750.8298130086812,714.6098611425518,739.0828015926392,492000
2022-02-24,719.5044555664062,730.2725494592369,713.6309498066805,726.356878952753,328200
2022-02-25,695.031494140625,718.525516477773,683.2844829720511,709.7152581013424,589000
2022-02-28,720.4833374023438,722.4411725583284,703.8417385764743,716.5676670903745,451600
2022-03-01,736.1460571289062,745.9352334205141,721.4622926914946,721.4622926914946,230200
2022-03-02,722.441162109375,739.0827606945503,711.6730689072027,734.188172875381,312100
2022-03-03,728.314697265625,741.0406261156965,726.3568620579217,730.2725324733283,132300
2022-03-04,696.9893798828125,724.3990745973051,690.1369562041893,724.3990745973051,189000
2022-03-07,652.9380493164062,678.389907310749,644.1277907799031,677.410989695582,393900
2022-03-08,628.465087890625,648.043439538308,624.5494175610884,644.1277692087714,330000
2022-03-09,629.4440307617188,644.1277950874198,624.5494426531518,638.2542893571394,351400
2022-03-10,648.04345703125,657.8326331193354,642.1699513783988,649.0223746400585,240000
2022-03-11,605.949951171875,637.2753121371416,594.2029408099,632.3807244863186,744100
2022-03-14,596.1607666015625,610.8445293257389,588.3294264820017,608.8866942958487,610100
2022-03-15,612.8024291992188,621.6126877659807,603.9921706324568,605.950005869515,334100
2022-03-16,613.7813720703125,628.4651369523774,608.8867837762908,621.6127133407471,274400
2022-03-17,617.6970825195312,628.4651774604422,605.9500698567192,628.4651774604422,390600
2022-03-18,640.212158203125,643.1489112224054,622.5916400874427,625.5283931067231,369300
2022-03-22,646.0856323242188,667.6218200683594,645.1067146994851,662.727231944691,383500
2022-03-23,657.8325805664062,665.6639208112443,648.0434052603586,650.9801578521729,281900
2022-03-24,657.8325805664062,657.8325805664062,647.0644877297538,654.895827974592,248600
2022-03-25,656.8536987304688,662.7272042332747,649.0223580600608,660.7693690656728,244100
2022-03-28,636.2964477539062,653.9169647686298,635.3175301419772,653.9169647686298,310600
2022-03-29,646.0856323242188,652.9380556973543,641.1910442005504,646.0856323242188,324300
2022-03-30,656.4033203125,656.4033203125,638.7158056933009,641.6637247965008,270400
2022-03-31,640.6810913085938,660.3338855205137,638.7158118874017,655.4206869675338,571000
2022-04-01,634.7852783203125,634.7852783203125,621.0283218242066,630.8547193214251,176800
2022-04-04,628.889404296875,630.8546836853028,613.1671691894531,615.1324485778808,488500
2022-04-05,646.5769653320312,647.5596050969735,635.767927917666,638.7158472124929,329000
2022-04-06,627.90673828125,642.6463330765845,625.9414589752054,636.7504951584507,347200
2022-04-07,609.2366333007812,617.0977511498236,599.4102359894783,611.2019127630418,298600
2022-04-08,620.045654296875,628.8894116481775,616.1150954740739,621.0282940025753,461600
2022-04-11,607.2713623046875,607.2713623046875,600.3928840908803,604.3234430701987,390200
2022-04-12,598.4275512695312,619.0629840719289,598.4275512695312,616.1150651001578,349400
2022-04-13,609.2366333007812,613.1671922253024,600.3928757206086,601.3755154517389,297300
2022-04-14,615.1324462890625,615.1324462890625,605.3060493834864,609.2366081457168,208600
2022-04-15,604.3234252929688,608.2539841566628,597.444947281504,608.2539841566628,261700
2022-04-18,599.4102172851562,607.271334888896,590.566459980949,602.3581363865587,358100
2022-04-19,607.2713623046875,610.2192815391762,599.4102443460507,600.3928840908803,177000
2022-04-20,602.358154296875,614.1498310530944,602.358154296875,611.2019118640395,202000
2022-04-21,614.1498413085938,617.0977605468751,574.8442514648438,594.4970463867188,647600
2022-04-22,618.0803833007812,622.0109421770978,604.3234272336732,605.3060669527524,257800
2022-04-25,597.4449462890625,607.2713434319747,591.5491080033152,598.4275860033537,393600
2022-04-26,593.514404296875,610.2192799145023,590.5664850702349,606.2887209456488,197200
2022-04-27,590.5664672851562,593.5143864230189,576.8095113084637,579.7574304463265,395900
2022-04-28,606.2886962890625,609.2366153958164,593.5143801597953,593.5143801597953,240400
2022-05-02,609.2366333007812,616.1151114186933,604.3234346451299,606.2887141073904,209200
2022-05-06,616.1151123046875,621.0283109674043,607.2713547117972,609.236634176884,234700
