Price,Close,High,Low,Open,Volume
Ticker,8836.T,8836.T,8836.T,8836.T,8836.T
Date,,,,,
2022-01-04,21.0,22.0,21.0,22.0,28400
2022-01-05,21.0,22.0,20.0,21.0,207100
2022-01-06,21.0,21.0,20.0,20.0,70600
2022-01-07,21.0,21.0,20.0,20.0,78900
2022-01-11,21.0,22.0,20.0,20.0,65800
2022-01-12,21.0,21.0,21.0,21.0,17600
2022-01-13,22.0,24.0,21.0,21.0,1289000
2022-01-14,21.0,23.0,21.0,22.0,290600
2022-01-17,21.0,22.0,21.0,22.0,28100
2022-01-18,21.0,22.0,20.0,21.0,416100
2022-01-19,19.0,22.0,19.0,21.0,808300
2022-01-20,19.0,20.0,18.0,20.0,600900
2022-01-21,19.0,20.0,18.0,18.0,755100
2022-01-24,19.0,20.0,18.0,19.0,97100
2022-01-25,19.0,22.0,19.0,19.0,821400
2022-01-26,19.0,20.0,19.0,19.0,135600
2022-01-27,19.0,20.0,19.0,20.0,216100
2022-01-28,20.0,20.0,19.0,19.0,59500
2022-01-31,19.0,20.0,19.0,20.0,20000
2022-02-01,19.0,19.0,19.0,19.0,12500
2022-02-02,19.0,20.0,19.0,20.0,21400
2022-02-03,20.0,21.0,19.0,20.0,168500
2022-02-04,19.0,20.0,19.0,20.0,45300
2022-02-07,19.0,20.0,19.0,19.0,68400
2022-02-08,21.0,23.0,19.0,19.0,1084700
2022-02-09,21.0,21.0,20.0,20.0,170100
2022-02-10,20.0,21.0,20.0,20.0,15800
2022-02-14,20.0,21.0,20.0,20.0,100400
2022-02-15,20.0,21.0,20.0,21.0,33200
2022-02-16,20.0,21.0,20.0,20.0,13000
2022-02-17,21.0,21.0,20.0,20.0,3600
2022-02-18,21.0,21.0,20.0,20.0,49400
2022-02-21,21.0,21.0,20.0,21.0,8900
2022-02-22,21.0,21.0,20.0,21.0,234600
2022-02-24,20.0,20.0,20.0,20.0,233900
2022-02-25,20.0,20.0,19.0,20.0,132000
2022-02-28,22.0,22.0,19.0,20.0,506200
2022-03-01,22.0,23.0,21.0,22.0,324400
