Price,Close,High,Low,Open,Volume
Ticker,9363.T,9363.T,9363.T,9363.T,9363.T
Date,,,,,
2022-01-04,425.689208984375,426.6086241225702,398.1067548385192,404.54266080588553,81700
2022-01-05,422.93096923828125,435.8027813455333,418.33389348569125,427.52804499087125,113300
2022-01-06,425.689208984375,435.8027755045221,419.25330301700865,428.4474543989606,62800
2022-01-07,424.769775390625,430.2862659801136,415.57562440814394,425.6891904888731,36200
2022-01-11,422.93096923828125,424.76979953931726,416.49506318465524,418.33389348569125,16200
2022-01-12,425.689208984375,431.2056998135462,422.9309635697894,422.9309635697894,26000
2022-01-13,416.49505615234375,425.6892075022851,416.49505615234375,425.6892075022851,47000
2022-01-14,416.49505615234375,419.25330155732615,410.0591502073848,416.49505615234375,30000
2022-01-17,409.1397399902344,421.09213688882545,409.1397399902344,421.09213688882545,12500
2022-01-18,406.3814697265625,410.05913008607894,400.86497918728793,410.05913008607894,17100
2022-01-19,399.9455871582031,410.0591537300198,399.9455871582031,402.70383258688037,34500
2022-01-20,404.54266357421875,408.2203241521662,392.59026669588957,404.54266357421875,25800
2022-01-21,399.9455871582031,403.6232477297728,391.67085087217134,403.6232477297728,20200
2022-01-24,404.54266357421875,413.7368150190874,395.3485121293501,395.3485121293501,22900
2022-01-25,400.8649597167969,404.5426198976849,395.34846944546484,404.5426198976849,14100
2022-01-26,399.9455871582031,409.13973858712734,399.9455871582031,400.86500230109556,15500
2022-01-27,388.91259765625,400.8649942745272,382.47669178487,398.1067489010786,51500
2022-01-28,399.0261535644531,402.70381396596883,393.50966296217956,402.70381396596883,21200
2022-01-31,409.1397399902344,414.6562308665072,398.1067582376887,403.62324911396155,42700
2022-02-01,413.73681640625,422.9309678819444,410.97857096354164,411.8979861111111,36700
2022-02-02,424.769775390625,428.44743578361744,413.73679421164775,413.73679421164775,69600
2022-02-03,425.689208984375,428.4474543989606,416.49505760242306,418.33388787881347,51600
2022-02-04,431.2057189941406,434.88337971050856,424.7698127404967,425.6892279195887,49000
2022-02-07,437.6415710449219,443.15806143624445,431.2056655883789,436.7221559797015,60900
2022-02-08,435.8027648925781,440.39984047161374,431.2056893135425,437.6415951241924,29200
2022-02-09,427.5280456542969,439.4804426295783,424.7698001984627,436.7221971737441,55100
2022-02-10,432.1251220703125,434.8833675303358,421.09214023021946,434.8833675303358,38700
2022-02-14,419.2532958984375,431.20569249203334,419.2532958984375,421.0921261436061,22800
2022-02-15,413.73681640625,426.6086284722222,411.8979861111111,419.25330729166666,20200
2022-02-16,424.769775390625,424.769775390625,416.49503950639206,421.09211499763256,27400
2022-02-17,410.05914306640625,423.85036985115084,409.1397279474233,420.172709375219,44000
2022-02-18,399.0261535644531,410.97854986937915,399.0261535644531,404.5426441667267,47900
2022-02-21,399.9455871582031,401.784417443988,390.7514357292789,393.5096811579562,22400
2022-02-22,390.75140380859375,394.42906407973345,387.99315860523893,394.42906407973345,21500
2022-02-24,367.76605224609375,388.91260025024417,361.3301463317871,386.15435485839845,48500
2022-02-25,378.79901123046875,381.55725645787504,367.7660303208434,367.7660303208434,25200
2022-02-28,380.63787841796875,393.50969073161986,379.7184632527079,379.7184632527079,16400
2022-03-01,387.9931945800781,390.75144003917825,382.476703661878,387.9931945800781,17900
2022-03-02,385.2349548339844,387.0737851673208,383.39612450064794,385.2349548339844,12500
2022-03-03,387.07373046875,387.99314550549286,383.3960703217785,383.3960703217785,13600
2022-03-04,376.9601745605469,387.07374021948834,376.9601745605469,385.2349100996808,23200
2022-03-07,372.36309814453125,376.9601734302662,365.92719274450235,376.9601734302662,29800
2022-03-08,365.92724609375,373.2825676232726,355.8136789906564,370.52432204970165,28500
2022-03-09,367.76605224609375,371.4437127685547,363.1689765930176,365.9272219848633,18500
2022-03-10,379.71844482421875,382.476690186138,370.5242936178212,370.5242936178212,18000
2022-03-11,377.8796081542969,384.3155138892849,376.9601930492986,376.9601930492986,12200
2022-03-14,380.63787841796875,387.9931997400551,379.7184632527079,383.3961239137511,16400
2022-03-15,376.9601745605469,380.63783480016195,376.9601745605469,380.63783480016195,11000
2022-03-16,381.5572814941406,384.315526902532,376.9602058134883,377.8796209496188,17500
2022-03-17,380.63787841796875,388.9126149053159,376.96021775692554,383.3961239137511,33500
2022-03-18,378.79901123046875,383.39608660947926,378.79901123046875,381.55725645787504,25200
2022-03-22,379.71844482421875,380.6378599448585,376.9601994622995,378.799029703579,17800
2022-03-23,376.9601745605469,381.5572498600657,373.28251432093174,379.7184197402582,34300
2022-03-24,375.1213684082031,376.9601986454982,373.282538170908,376.9601986454982,10000
2022-03-25,373.28253173828125,379.71843745790676,371.4437015326739,371.4437015326739,19000
2022-03-28,373.28253173828125,374.20194684108486,365.9272109158521,370.5242864298703,28700
2022-03-29,376.0408020019531,381.5572929848669,367.7660655275825,371.4437261828583,17400
2022-03-30,377.92572021484375,382.6380109905899,377.92572021484375,377.92572021484375,8000
2022-03-31,383.5804748535156,383.5804748535156,376.04080950012957,377.92572583847607,14800
2022-04-01,371.3284912109375,382.63798840517927,371.3284912109375,376.04078170853825,34700
2022-04-04,369.443603515625,375.0983525490274,367.55868717115754,374.1558943767937,19000
2022-04-05,364.7312927246094,369.44358332828654,360.9614602416677,369.44358332828654,20500
2022-04-06,362.84637451171875,367.558665089793,360.96145828048907,367.558665089793,17900
2022-04-07,356.2491760253906,363.7888411264571,356.2491760253906,360.9614667135572,11300
2022-04-08,360.9614562988281,360.9614562988281,355.3067076361833,357.19162385706494,12400
2022-04-11,355.30670166015625,360.01899213310264,355.30670166015625,359.07653403851333,10900
2022-04-12,356.2491760253906,356.2491760253906,343.9972202361576,354.364259750124,25300
2022-04-13,357.1916198730469,362.8463684726202,354.36424557326023,354.36424557326023,5200
2022-04-14,360.01898193359375,361.90389806937173,358.13406579781577,361.90389806937173,2800
2022-04-15,358.1340637207031,359.07652178312605,352.4793153461657,359.07652178312605,19800
2022-04-18,349.6519470214844,358.1340697255096,340.22736623923413,358.1340697255096,31700
2022-04-19,345.88214111328125,347.7670574136261,343.054766662764,346.8245992634537,11400
2022-04-20,343.9971923828125,345.88210850545806,342.11227626016694,345.88210850545806,6900
2022-04-21,347.7670593261719,347.7670593261719,341.1698522386835,343.99722670474995,10400
2022-04-22,339.2849426269531,345.8821498446994,339.2849426269531,345.8821498446994,11000
2022-04-25,331.7452697753906,337.4000186920166,331.7452697753906,336.4575605392456,8400
2022-04-26,327.9754333496094,333.63018220046473,327.0329752078002,333.63018220046473,11400
2022-04-27,336.4575500488281,336.4575500488281,316.6659294577206,327.0329688149674,19300
2022-04-28,329.8603210449219,334.5726113455636,324.2055726841518,330.8027791050502,8800
2022-05-02,327.9754333496094,332.6877240586555,325.1480589241817,332.6877240586555,4500
2022-05-06,330.8028259277344,332.687742314787,325.14807676657654,327.97545134715546,7200
2022-05-09,331.7452697753906,331.7452697753906,325.14806270599365,325.14806270599365,3400
2022-05-10,323.2631530761719,328.9179021095743,322.32069490393815,325.1480694206394,16300
2022-05-11,327.9754333496094,332.6877240586555,325.1480589241817,327.0329752078002,19600
2022-05-12,334.5726318359375,334.5726318359375,327.0329668931558,327.97542501100355,13300
2022-05-13,327.032958984375,328.9178751744867,324.2055846992075,327.032958984375,20200
2022-05-16,327.032958984375,331.7452494596542,323.2631266041517,329.86033326954254,15000
2022-05-17,323.2631530761719,327.9754439373406,321.3782367317044,323.2631530761719,15900
2022-05-18,321.3782043457031,324.2055785774835,320.435746268443,324.2055785774835,11800
2022-05-19,315.7234802246094,319.4933128243062,313.83856392476093,318.550854674382,21300
2022-05-20,317.6083984375,318.5508565931009,311.95364950389467,313.83856581509644,12200
2022-05-23,319.4932861328125,321.378202275189,314.7809957768713,317.608369990436,10100
2022-05-24,323.2631530761719,325.1480694206394,317.60840404276945,322.32069490393815,10000
2022-05-25,318.55084228515625,322.320674738235,317.6083841718866,322.320674738235,7200
2022-05-26,318.55084228515625,321.3782166249653,315.7234679453472,318.55084228515625,18400
2022-05-27,318.55084228515625,320.43575851169567,316.6659260586169,317.6083841718866,3600
2022-05-30,327.032958984375,334.5726237448217,314.78100374864914,319.49329422392833,29500
2022-05-31,321.3782043457031,327.975410886524,320.435746268443,327.975410886524,9600
2022-06-01,322.3206481933594,327.0329383716249,322.3206481933594,322.3206481933594,7400
2022-06-02,321.3782043457031,324.2055785774835,321.3782043457031,324.2055785774835,4500
2022-06-03,320.4357604980469,324.2055929744945,320.4357604980469,324.2055929744945,6100
2022-06-06,320.4357604980469,323.2631348553826,319.49330237893497,323.2631348553826,16700
2022-06-07,320.4357604980469,323.2631348553826,319.49330237893497,320.4357604980469,7900
2022-06-08,320.4357604980469,323.2631348553826,320.4357604980469,320.4357604980469,9000
2022-06-09,328.9178771972656,340.22737440748676,322.32067049130325,324.2055866930068,37700
2022-06-10,336.4575500488281,338.3424662956003,330.8028013085117,333.6301756786699,14700
2022-06-13,328.9178771972656,336.45754200407976,319.493296188748,334.5726258023762,19600
2022-06-14,326.09051513671875,333.6301802265851,325.1480570004855,333.6301802265851,8100
2022-06-15,325.1480407714844,329.86033121744794,325.1480407714844,326.0904988606771,4700
2022-06-16,323.2631530761719,327.03298576510684,323.2631530761719,325.1480694206394,5400
2022-06-17,320.4357604980469,321.3782186171588,318.55084425982307,321.3782186171588,4400
2022-06-20,316.6659240722656,322.32067271641324,316.6659240722656,321.3782146090553,3200
2022-06-21,318.55084228515625,319.49330039842596,317.6083841718866,318.55084228515625,1100
2022-06-22,312.8960876464844,319.49329431372956,311.95362955116366,319.49329431372956,12700
2022-06-23,313.8385314941406,314.7809895466756,311.9536153890707,313.8385314941406,10800
2022-06-24,315.7234802246094,315.7234802246094,313.83856392476093,313.83856392476093,2400
2022-06-27,315.7234802246094,320.4357709742304,315.7234802246094,320.4357709742304,2300
2022-06-28,311.9536437988281,316.66593449065334,310.0687275220981,316.66593449065334,6500
2022-06-29,311.9536437988281,314.78101821392323,307.2413531070029,311.9536437988281,11500
2022-06-30,307.2413330078125,312.896081468079,307.2413330078125,312.896081468079,16500
2022-07-01,307.2413330078125,307.2413330078125,305.3564168543903,307.2413330078125,8400
2022-07-04,305.3564147949219,307.2413309356313,305.3564147949219,307.2413309356313,4000
2022-07-05,308.1838073730469,308.1838073730469,304.41397486695456,304.41397486695456,5100
2022-07-06,306.29888916015625,310.0687216421274,304.41397291917065,305.35643103966345,10600
2022-07-07,306.29888916015625,309.1262635216346,306.29888916015625,306.29888916015625,5600
2022-07-08,309.12628173828125,309.12628173828125,306.2989072101872,306.2989072101872,5200
2022-07-11,306.29888916015625,309.1262635216346,306.29888916015625,308.1838054011418,3800
2022-07-12,309.12628173828125,309.12628173828125,306.2989072101872,308.1838235622499,2000
2022-07-13,306.29888916015625,309.1262635216346,305.35643103966345,309.1262635216346,11900
2022-07-14,307.2413330078125,307.2413330078125,304.4139587776792,304.4139587776792,600
2022-07-15,307.2413330078125,307.2413330078125,305.3564168543903,306.2988749311014,2000
2022-07-19,296.8742980957031,304.4139628092448,296.8742980957031,301.5865885416667,68900
2022-07-20,298.75921630859375,300.64413249981516,298.75921630859375,298.75921630859375,9100
2022-07-21,305.3564147949219,305.3564147949219,299.7016663727937,299.7016663727937,12800
2022-07-22,376.0408020019531,380.7530927538573,309.1262733249138,309.1262733249138,1427400
2022-07-25,359.0765380859375,362.8463705067872,343.99720840253855,360.9614542963624,225100
2022-07-26,357.1916198730469,360.9614522727624,349.65195507361585,359.0765360729047,44900
2022-07-27,358.1340637207031,360.0189798455489,348.7094830964741,353.4217734085886,40200
2022-07-28,349.6519470214844,358.1340697255096,349.6519470214844,358.1340697255096,37800
2022-07-29,348.7095031738281,351.5368775238862,345.8821288237701,350.5944194072002,29900
2022-08-01,343.05474853515625,348.7094971373841,341.1698323344136,348.7094971373841,13200
2022-08-02,339.2849426269531,342.1123171488444,339.2849426269531,340.2274008009169,11300
2022-08-03,337.3999938964844,342.11228431403305,336.45753581297464,339.28491006350384,18700
2022-08-04,335.51507568359375,340.22736607240824,332.68770145030504,340.22736607240824,21900
2022-08-05,335.51507568359375,336.4575337613567,333.63015952806796,334.5726176058308,10200
2022-08-08,337.3999938964844,337.3999938964844,331.74524539542597,334.57261964595517,6100
2022-08-09,345.88214111328125,346.8245992634537,335.5151014613846,337.40001776172943,17300
2022-08-10,360.9614562988281,376.9832441763218,345.88212653177527,345.88212653177527,136900
2022-08-12,329.8603210449219,340.2273597063337,313.83853402273996,318.5508243233817,102200
2022-08-15,330.8028259277344,336.4575750888922,327.97545134715546,333.6302005083133,12000
2022-08-16,329.8603210449219,331.7452371651786,325.1480307442801,329.8603210449219,12400
2022-08-17,332.6877136230469,334.57262984754004,327.9754230618139,330.8027973985537,6800
2022-08-18,330.8028259277344,334.5726587018396,328.91790954068176,332.687742314787,6800
2022-08-19,328.9178771972656,335.51508390322795,327.9754190964139,332.6877096006727,7700
2022-08-22,327.9754333496094,330.8028077750371,326.0905170659909,327.9754333496094,3500
2022-08-23,324.2055969238281,327.97542944619823,324.2055969238281,327.97542944619823,12700
2022-08-24,324.2055969238281,325.14805505442064,323.2631387932356,325.14805505442064,6000
2022-08-25,322.3206481933594,326.0904803359718,321.3781901577063,326.0904803359718,16000
2022-08-26,328.9178771972656,334.5726258023762,323.26312859215506,323.26312859215506,15600
2022-08-29,327.032958984375,327.9754170794308,320.43575231898416,327.032958984375,3400
2022-08-30,322.3206481933594,326.0904803359718,319.4932740864001,326.0904803359718,17400
2022-08-31,321.3782043457031,325.14803665474363,321.3782043457031,323.26312050022335,4200
2022-09-01,320.4357604980469,324.2055929744945,320.4357604980469,323.2631348553826,5400
2022-09-02,319.4932861328125,321.378202275189,317.608369990436,321.378202275189,8000
2022-09-05,315.7234802246094,319.4933128243062,315.7234802246094,319.4933128243062,2600
2022-09-06,312.8960876464844,316.66592002776736,312.8960876464844,315.7234619324466,4700
2022-09-07,315.7234802246094,318.550854674382,312.89610577483677,312.89610577483677,6900
2022-09-08,318.55084228515625,320.43575851169567,317.6083841718866,317.6083841718866,1400
2022-09-09,318.55084228515625,320.43575851169567,316.6659260586169,316.6659260586169,4900
2022-09-12,318.55084228515625,321.3782166249653,316.6659260586169,318.55084228515625,5200
2022-09-13,322.3206481933594,327.0329383716249,318.550816050747,319.4932740864001,13300
2022-09-14,315.7234802246094,324.20560357392725,310.0687313250641,316.6659383745336,26500
2022-09-15,311.01116943359375,319.4932922363281,311.01116943359375,315.7234598795573,25700
2022-09-16,310.0687255859375,314.7810162483378,309.12626745345744,312.89609998337767,6400
2022-09-20,311.01116943359375,311.01116943359375,309.1262532552083,310.06871134440104,1700
2022-09-21,306.29888916015625,310.0687216421274,304.41397291917065,309.1262635216346,13800
2022-09-22,302.529052734375,304.41396895078856,299.70167840975466,304.41396895078856,21300
2022-09-26,294.04693603515625,299.7016848050631,294.04693603515625,298.7592266767453,8100
2022-09-27,293.1044616699219,297.81675205046724,293.1044616699219,294.98937782214,3600
2022-09-28,291.21954345703125,294.04691766535194,289.3346273181508,292.1620015264715,8600
2022-09-29,292.1620178222656,296.8743084323022,290.277101578251,294.9893921882876,4800
2022-09-30,293.1044616699219,293.1044616699219,288.3921712893765,292.1620035938128,2600
2022-10-03,285.5647888183594,293.1044532096032,283.6798727205484,293.1044532096032,10300
2022-10-04,286.5072937011719,290.27712651302943,285.5648354982075,286.5072937011719,3900
2022-10-05,288.3921813964844,290.27709761476206,285.56480706906785,287.44972328734553,6900
2022-10-06,287.4497375488281,290.2771120165215,286.50727939293034,287.4497375488281,5400
2022-10-07,287.4497375488281,290.2771120165215,284.6223630811347,287.4497375488281,7300
2022-10-11,287.4497375488281,289.33465386062375,287.4497375488281,288.3921957047259,5000
2022-10-12,289.33465576171875,290.27711392380905,287.4497394375382,287.4497394375382,8200
2022-10-13,287.4497375488281,292.1620283283171,287.4497375488281,291.2195701724193,9700
2022-10-14,291.21954345703125,294.04691766535194,287.4497111792703,288.39216924871056,2600
2022-10-17,293.1044616699219,294.04691974603094,290.27708744159463,294.04691974603094,3200
2022-10-18,293.1044616699219,296.8742939743582,292.1620035938128,294.98937782214,2500
2022-10-19,296.8742980957031,309.1262532552083,294.9893819173177,294.9893819173177,16100
2022-10-20,296.8742980957031,297.81675618489584,294.9893819173177,296.8742980957031,3800
2022-10-21,300.6441345214844,306.2988831331737,297.8167602156397,297.8167602156397,5200
2022-10-24,300.6441345214844,302.52905072538084,296.87430211369144,302.52905072538084,3900
2022-10-25,297.8167724609375,299.7016887423359,294.98939803884,298.75923060163666,3600
2022-10-26,300.6441345214844,302.52905072538084,297.8167602156397,299.70167641953617,5300
2022-10-27,298.75921630859375,301.58659059542583,296.87430011737234,297.816758212983,2200
2022-10-28,297.8167724609375,299.7016887423359,297.8167724609375,298.75923060163666,600
2022-10-31,300.6441345214844,300.6441345214844,297.8167602156397,300.6441345214844,2400
2022-11-01,297.8167724609375,300.64414688303503,296.87431432023834,300.64414688303503,1400
2022-11-02,301.58660888671875,304.41398334503174,296.87431812286377,297.81677627563477,3600
2022-11-04,300.6441345214844,305.3564250312255,300.6441345214844,303.47150882732905,2500
2022-11-07,309.12628173828125,309.12628173828125,298.75924180193647,298.75924180193647,15100
2022-11-08,308.1838073730469,309.12626549956997,302.52905861390843,309.12626549956997,5600
2022-11-09,306.29888916015625,310.0687216421274,306.29888916015625,310.0687216421274,2900
2022-11-10,307.2413330078125,313.8385395447901,307.2413330078125,311.0111653146568,14300
2022-11-11,320.4357604980469,320.4357604980469,307.24134683048027,307.24134683048027,16200
2022-11-14,305.3564147949219,320.435743920597,305.3564147949219,313.8385374281142,15100
2022-11-15,303.4715270996094,309.126276051776,303.4715270996094,305.3564434169983,7100
2022-11-16,311.01116943359375,314.7810017903646,310.06871134440104,311.01116943359375,7400
2022-11-17,312.8960876464844,312.8960876464844,304.41396478859775,311.01117145584294,9200
2022-11-18,315.7234802246094,316.6659383745336,308.1838150252157,308.1838150252157,8200
2022-11-21,315.7234802246094,315.7234802246094,310.0687313250641,310.0687313250641,700
2022-11-22,315.7234802246094,317.60839652445776,313.83856392476093,314.78102207468515,3600
2022-11-24,306.29888916015625,316.6659284855769,305.35643103966345,315.7234703650841,45000
2022-11-25,307.2413330078125,307.2413330078125,302.5290426242571,305.3564168543903,11400
2022-11-28,306.29888916015625,309.1262635216346,305.35643103966345,307.24134728064905,6900
2022-11-29,306.29888916015625,306.29888916015625,304.41397291917065,306.29888916015625,3200
2022-11-30,308.1838073730469,308.1838073730469,305.35643299347765,306.29889112000075,3600
2022-12-01,305.3564147949219,308.183789005986,304.4139567245672,307.2413309356313,6200
2022-12-02,306.29888916015625,307.24134728064905,303.4715147986779,307.24134728064905,1900
2022-12-05,300.6441345214844,306.2988831331737,300.6441345214844,306.2988831331737,4200
2022-12-06,297.8167724609375,298.75923060163666,296.87431432023834,298.75923060163666,3100
2022-12-07,299.70166015625,306.2988665118907,297.8167440546384,297.8167440546384,9300
2022-12-08,301.58660888671875,301.58660888671875,299.70169258117676,300.64415073394775,1700
2022-12-09,306.29888916015625,309.1262635216346,302.5290566781851,302.5290566781851,10500
2022-12-12,303.4715270996094,307.2413597343871,301.5866107822205,305.3564434169983,12300
2022-12-13,305.3564147949219,305.3564147949219,303.4714986542125,304.4139567245672,2000
2022-12-14,304.4139709472656,306.29888717604126,302.52905471849,306.29888717604126,6700
2022-12-15,303.4715270996094,305.3564434169983,303.4715270996094,305.3564434169983,1700
2022-12-16,299.70166015625,304.4139504102791,299.70166015625,304.4139504102791,6000
2022-12-19,288.3921813964844,291.2195557239009,287.44972328734553,287.44972328734553,33600
2022-12-20,287.4497375488281,292.1620283283171,283.67990492523694,289.33465386062375,19300
2022-12-21,282.7374267578125,287.44971720377606,280.8525105794271,287.44971720377606,12900
2022-12-22,278.9676208496094,283.67991174233924,277.0827044925174,282.7374535637933,9200
2022-12-23,276.1402282714844,278.96760262238695,275.19777015451683,278.96760262238695,12300
2022-12-26,273.3128662109375,276.1402406889817,272.37040805158944,276.1402406889817,15700
2022-12-27,277.0826721191406,277.0826721191406,272.3703817769784,274.25529791384326,9000
2022-12-28,268.6005554199219,273.31284586588544,268.6005554199219,272.3703877766927,18300
2022-12-29,272.3703918457031,275.1977661555201,269.5430175358861,269.5430175358861,4200
2022-12-30,276.1402282714844,278.0251445054194,273.3128539205818,273.3128539205818,3200
2023-01-04,274.25531005859375,277.0826843890947,274.25531005859375,276.14022627892774,1800
2023-01-05,279.9100646972656,279.9100646972656,274.2553159155027,275.1977740457965,1100
2023-01-06,276.1402282714844,278.0251445054194,276.1402282714844,278.0251445054194,4900
2023-01-10,274.25531005859375,277.0826843890947,272.3703938382598,277.0826843890947,5500
2023-01-11,279.9100646972656,279.9100646972656,271.4279415246212,276.1402321760903,7500
2023-01-12,278.0251159667969,278.0251159667969,277.08265794657046,277.08265794657046,6100
2023-01-13,280.8525085449219,286.50725703911496,278.02513429782533,278.02513429782533,23800
2023-01-16,279.9100646972656,280.8525228275594,279.9100646972656,280.8525228275594,2000
2023-01-17,278.0251159667969,279.91003200724975,278.0251159667969,278.0251159667969,1900
2023-01-18,278.0251159667969,281.7949480477026,277.08265794657046,280.85249002747616,1200
2023-01-19,292.1620178222656,294.9893921882876,282.73743660219253,285.5648109682145,19400
2023-01-20,294.04693603515625,294.04693603515625,287.4497291369316,287.4497291369316,5700
2023-01-23,294.04693603515625,294.04693603515625,288.3921872652494,294.04693603515625,7200
2023-01-24,290.277099609375,294.98939018744926,290.277099609375,293.1044739562196,4500
2023-01-25,294.04693603515625,294.04693603515625,289.3346453935672,289.3346453935672,4000
2023-01-26,292.1620178222656,295.93185031029486,292.1620178222656,292.1620178222656,6900
2023-01-27,294.9894104003906,294.9894104003906,292.1620358598118,293.10449404000474,3800
2023-01-30,291.21954345703125,294.04691766535194,291.21954345703125,293.1044595959117,2800
2023-01-31,291.21954345703125,291.21954345703125,288.39216924871056,291.21954345703125,2600
2023-02-01,289.33465576171875,294.98940473426046,289.33465576171875,294.98940473426046,3200
2023-02-02,287.4497375488281,290.2771120165215,287.4497375488281,290.2771120165215,4100
2023-02-03,288.3921813964844,290.27709761476206,288.3921813964844,289.3346395056232,2600
2023-02-06,290.277099609375,290.277099609375,288.3921833781453,289.33464149376016,3700
2023-02-07,290.277099609375,290.277099609375,290.277099609375,290.277099609375,100
2023-02-08,289.33465576171875,290.27711392380905,288.39219759962845,290.27711392380905,2800
2023-02-09,287.4497375488281,289.33465386062375,287.4497375488281,288.3921957047259,6300
2023-02-10,287.4497375488281,287.4497375488281,286.50727939293034,286.50727939293034,6300
2023-02-13,290.277099609375,291.21955772498984,286.5072671469156,287.4497252625304,8800
2023-02-14,291.21954345703125,294.04691766535194,288.39216924871056,289.3346273181508,9700
2023-02-15,290.277099609375,292.16201584060474,286.5072671469156,292.16201584060474,9600
2023-02-16,293.1044616699219,294.98937782214,289.33462936548557,289.33462936548557,14900
2023-02-17,301.58660888671875,302.52906703948975,295.9318599700928,295.9318599700928,11700
2023-02-20,302.529052734375,304.41396895078856,300.64413651796144,300.64413651796144,9200
2023-02-21,300.6441345214844,300.6441345214844,298.7592183175879,300.6441345214844,3400
2023-02-22,294.9894104003906,297.81678494096946,294.0469522201977,297.81678494096946,4300
2023-02-24,298.75921630859375,300.64413249981516,295.9318420217616,295.9318420217616,6700
2023-02-27,299.70166015625,301.5865762578616,297.8167440546384,299.70166015625,4100
2023-02-28,299.70166015625,301.5865762578616,298.75920210544416,298.75920210544416,2200
2023-03-01,299.70166015625,301.5865762578616,299.70166015625,299.70166015625,1300
2023-03-02,299.70166015625,301.5865762578616,296.87428600383254,297.8167440546384,10000
2023-03-03,299.70166015625,301.5865762578616,298.75920210544416,300.6441182070558,7300
