Price,Close,High,Low,Open,Volume
Ticker,9424.T,9424.T,9424.T,9424.T,9424.T
Date,,,,,
2022-01-04,203.0,205.0,201.0,204.0,1269100
2022-01-05,195.0,203.0,195.0,203.0,4406900
2022-01-06,195.0,197.0,191.0,195.0,2969600
2022-01-07,191.0,196.0,187.0,194.0,5512200
2022-01-11,191.0,192.0,185.0,189.0,3721600
2022-01-12,194.0,195.0,191.0,191.0,2403600
2022-01-13,188.0,193.0,188.0,192.0,2913600
2022-01-14,186.0,188.0,183.0,187.0,4019700
2022-01-17,182.0,187.0,182.0,186.0,2168500
2022-01-18,182.0,187.0,180.0,182.0,2790700
2022-01-19,174.0,181.0,173.0,180.0,3976000
2022-01-20,177.0,179.0,170.0,170.0,2621200
2022-01-21,176.0,177.0,172.0,174.0,2293100
2022-01-24,173.0,176.0,169.0,173.0,3227400
2022-01-25,164.0,175.0,164.0,174.0,4613900
2022-01-26,167.0,171.0,163.0,163.0,2858300
2022-01-27,160.0,168.0,156.0,167.0,5685100
2022-01-28,164.0,165.0,157.0,160.0,3757800
2022-01-31,165.0,168.0,160.0,160.0,3364000
2022-02-01,167.0,172.0,165.0,169.0,3491400
2022-02-02,174.0,175.0,168.0,169.0,2052800
2022-02-03,171.0,178.0,169.0,177.0,4129100
2022-02-04,194.0,196.0,174.0,182.0,28249400
2022-02-07,199.0,201.0,193.0,197.0,9851200
2022-02-08,183.0,204.0,181.0,197.0,18041500
2022-02-09,186.0,190.0,181.0,183.0,7491500
2022-02-10,183.0,189.0,178.0,188.0,6786600
2022-02-14,183.0,186.0,178.0,179.0,3475800
2022-02-15,181.0,185.0,180.0,183.0,1968400
2022-02-16,183.0,185.0,180.0,184.0,1761900
2022-02-17,179.0,182.0,178.0,181.0,1858400
2022-02-18,177.0,180.0,174.0,174.0,2320500
2022-02-21,173.0,177.0,171.0,176.0,2419100
2022-02-22,174.0,175.0,170.0,171.0,3153100
2022-02-24,167.0,176.0,163.0,171.0,6053700
2022-02-25,177.0,177.0,168.0,168.0,3767900
2022-02-28,183.0,184.0,176.0,179.0,2970300
2022-03-01,189.0,190.0,183.0,185.0,4042500
2022-03-02,187.0,189.0,182.0,186.0,3765000
2022-03-03,187.0,189.0,183.0,188.0,2580200
2022-03-04,181.0,185.0,178.0,185.0,2889400
2022-03-07,174.0,177.0,172.0,174.0,2483700
2022-03-08,176.0,179.0,172.0,173.0,2372000
2022-03-09,173.0,177.0,170.0,175.0,2352700
2022-03-10,178.0,180.0,176.0,177.0,2066200
2022-03-11,179.0,179.0,175.0,176.0,1171400
2022-03-14,180.0,183.0,177.0,177.0,1853300
2022-03-15,178.0,180.0,177.0,180.0,1515300
2022-03-16,181.0,181.0,178.0,181.0,1489900
2022-03-17,184.0,186.0,181.0,184.0,1973200
2022-03-18,191.0,191.0,183.0,184.0,3507100
2022-03-22,190.0,193.0,188.0,192.0,1742400
2022-03-23,194.0,197.0,192.0,192.0,2964800
2022-03-24,194.0,195.0,190.0,192.0,2974900
2022-03-25,195.0,196.0,191.0,194.0,2683900
2022-03-28,194.0,196.0,192.0,195.0,2291200
2022-03-29,201.0,203.0,194.0,195.0,5654700
2022-03-30,211.0,212.0,204.0,204.0,5547700
2022-03-31,212.0,215.0,207.0,207.0,4188900
2022-04-01,213.0,217.0,207.0,212.0,4208700
2022-04-04,207.0,218.0,205.0,216.0,5025000
2022-04-05,204.0,211.0,204.0,209.0,2577500
2022-04-06,194.0,202.0,193.0,201.0,4306900
2022-04-07,189.0,193.0,189.0,190.0,2436000
2022-04-08,191.0,193.0,189.0,190.0,1423500
2022-04-11,186.0,193.0,184.0,193.0,2480500
2022-04-12,186.0,189.0,183.0,185.0,2036100
2022-04-13,192.0,193.0,186.0,186.0,1592500
2022-04-14,197.0,198.0,192.0,193.0,1875800
2022-04-15,196.0,204.0,193.0,195.0,4346600
2022-04-18,189.0,195.0,188.0,195.0,2914500
2022-04-19,191.0,193.0,189.0,189.0,1570900
2022-04-20,187.0,193.0,187.0,192.0,2624000
2022-04-21,190.0,191.0,187.0,188.0,1726600
2022-04-22,184.0,188.0,181.0,188.0,4103700
2022-04-25,182.0,184.0,179.0,180.0,1661700
2022-04-26,186.0,186.0,179.0,182.0,2203800
2022-04-27,186.0,186.0,180.0,181.0,2045900
2022-04-28,182.0,185.0,180.0,185.0,2389900
2022-05-02,178.0,183.0,177.0,182.0,3208900
2022-05-06,177.0,178.0,171.0,176.0,2639400
2022-05-09,172.0,176.0,170.0,174.0,2989100
2022-05-10,173.0,174.0,167.0,171.0,3028700
2022-05-11,194.0,199.0,176.0,178.0,11514500
2022-05-12,183.0,196.0,182.0,191.0,9182000
2022-05-13,193.0,194.0,181.0,181.0,5726100
2022-05-16,195.0,203.0,193.0,195.0,6476500
2022-05-17,199.0,200.0,193.0,194.0,4796700
2022-05-18,201.0,203.0,195.0,199.0,6364300
2022-05-19,203.0,203.0,193.0,193.0,4812900
2022-05-20,211.0,212.0,200.0,201.0,6603900
2022-05-23,200.0,212.0,199.0,211.0,6862200
2022-05-24,201.0,203.0,197.0,200.0,2451200
2022-05-25,196.0,200.0,194.0,200.0,3139000
2022-05-26,206.0,207.0,196.0,196.0,6923400
2022-05-27,205.0,208.0,202.0,206.0,3009900
2022-05-30,205.0,207.0,202.0,206.0,4167200
2022-05-31,201.0,206.0,200.0,205.0,4229600
2022-06-01,198.0,202.0,198.0,198.0,2696300
2022-06-02,189.0,199.0,188.0,199.0,4947600
2022-06-03,189.0,191.0,187.0,190.0,2598700
2022-06-06,192.0,193.0,188.0,188.0,2302100
2022-06-07,191.0,193.0,189.0,193.0,1846500
2022-06-08,193.0,195.0,190.0,190.0,1371600
2022-06-09,198.0,201.0,193.0,195.0,3345000
2022-06-10,196.0,198.0,194.0,196.0,1917500
2022-06-13,193.0,197.0,193.0,195.0,1494700
2022-06-14,192.0,192.0,187.0,191.0,2481800
2022-06-15,188.0,194.0,187.0,192.0,2238500
2022-06-16,186.0,191.0,185.0,191.0,2108400
2022-06-17,195.0,200.0,183.0,185.0,7032200
2022-06-20,194.0,201.0,192.0,201.0,3225200
2022-06-21,195.0,199.0,190.0,194.0,3140600
2022-06-22,191.0,196.0,189.0,195.0,3184600
2022-06-23,190.0,193.0,190.0,190.0,1157300
2022-06-24,195.0,195.0,191.0,192.0,1909000
2022-06-27,198.0,200.0,193.0,195.0,2698400
2022-06-28,201.0,203.0,198.0,198.0,4424500
2022-06-29,205.0,206.0,198.0,199.0,4154600
2022-06-30,201.0,207.0,201.0,204.0,3123600
2022-07-01,197.0,203.0,196.0,201.0,3569800
2022-07-04,198.0,203.0,197.0,201.0,3891300
2022-07-05,194.0,200.0,193.0,200.0,2849200
2022-07-06,194.0,198.0,193.0,193.0,1595000
2022-07-07,198.0,198.0,194.0,194.0,1934900
2022-07-08,201.0,202.0,195.0,198.0,4521700
2022-07-11,229.0,233.0,202.0,203.0,27434200
2022-07-12,229.0,233.0,222.0,225.0,9502000
2022-07-13,219.0,235.0,217.0,228.0,12184300
2022-07-14,212.0,219.0,211.0,219.0,6196800
2022-07-15,210.0,214.0,207.0,213.0,4160300
2022-07-19,209.0,210.0,206.0,209.0,1995700
2022-07-20,212.0,215.0,210.0,211.0,2067700
2022-07-21,209.0,213.0,208.0,210.0,3142800
2022-07-22,208.0,212.0,207.0,211.0,1951100
2022-07-25,200.0,209.0,200.0,208.0,4264100
2022-07-26,203.0,203.0,198.0,200.0,2252700
2022-07-27,201.0,206.0,201.0,203.0,1854500
2022-07-28,203.0,205.0,200.0,204.0,1654200
2022-07-29,199.0,203.0,198.0,203.0,2584100
2022-08-01,201.0,202.0,196.0,199.0,2002600
2022-08-02,199.0,201.0,198.0,201.0,2005300
2022-08-03,200.0,202.0,197.0,200.0,2228000
2022-08-04,204.0,204.0,196.0,201.0,4810900
2022-08-05,213.0,221.0,208.0,215.0,15081800
2022-08-08,232.0,233.0,207.0,211.0,14977500
2022-08-09,245.0,253.0,229.0,230.0,21189500
2022-08-10,246.0,259.0,237.0,243.0,15950500
2022-08-12,241.0,253.0,241.0,245.0,11029400
2022-08-15,232.0,241.0,231.0,240.0,6966400
2022-08-16,235.0,238.0,228.0,231.0,7520500
2022-08-17,235.0,239.0,233.0,236.0,4404800
2022-08-18,245.0,246.0,232.0,232.0,7159300
2022-08-19,234.0,248.0,233.0,248.0,7553200
2022-08-22,230.0,239.0,229.0,233.0,4434500
2022-08-23,231.0,238.0,231.0,235.0,5753100
2022-08-24,223.0,232.0,221.0,231.0,8318100
2022-08-25,224.0,227.0,220.0,223.0,3445400
2022-08-26,223.0,229.0,222.0,226.0,3365800
2022-08-29,220.0,221.0,217.0,218.0,2228400
2022-08-30,225.0,232.0,220.0,222.0,4449100
2022-08-31,227.0,232.0,224.0,229.0,4085900
2022-09-01,219.0,225.0,218.0,225.0,5131700
2022-09-02,215.0,225.0,212.0,220.0,4189500
2022-09-05,216.0,218.0,211.0,213.0,2866100
2022-09-06,223.0,223.0,218.0,218.0,2867100
2022-09-07,225.0,225.0,219.0,222.0,2348400
2022-09-08,225.0,227.0,222.0,225.0,2970400
2022-09-09,230.0,235.0,225.0,227.0,5709700
2022-09-12,231.0,236.0,229.0,232.0,4035900
