Price,Close,High,Low,Open,Volume
Ticker,9619.T,9619.T,9619.T,9619.T,9619.T
Date,,,,,
2022-01-04,1205.4449462890625,1205.4449462890625,1187.5732643574233,1205.4449462890625,22500
2022-01-05,1220.635986328125,1220.635986328125,1205.4450553123283,1211.700144554127,35900
2022-01-06,1201.87060546875,1215.2743668680298,1199.189853188894,1209.9128623083177,34800
2022-01-07,1181.318115234375,1211.6999729635495,1181.318115234375,1206.338468658401,28100
2022-01-11,1187.5733642578125,1196.509205975328,1179.5311067120485,1196.509205975328,19800
2022-01-12,1206.338623046875,1208.1257913773147,1192.9348605685764,1199.1899497251156,21000
2022-01-13,1217.0615234375,1223.316612030791,1200.9770099118944,1206.3385144204294,41600
2022-01-14,1183.1055908203125,1206.3387821808321,1169.7018265738589,1206.3387821808321,46100
2022-01-17,1176.850341796875,1193.8284408812642,1173.2760051475298,1190.254104231919,17000
2022-01-18,1168.8079833984375,1185.7860810166105,1165.2336470577695,1185.7860810166105,14200
2022-01-19,1133.064697265625,1167.914478963858,1132.1711131195166,1163.4465582333153,65500
2022-01-20,1133.064697265625,1141.106954580602,1117.87376678178,1136.6390338500591,53200
2022-01-21,1140.2135009765625,1140.2135009765625,1121.4482317598636,1133.0648269892486,33900
2022-01-24,1145.574951171875,1146.4685353771572,1123.235346039818,1134.8519407084877,25800
2022-01-25,1129.4903564453125,1145.574871014945,1119.6609308749814,1145.574871014945,25500
2022-01-26,1116.980224609375,1138.426244921875,1116.980224609375,1130.3839873046875,23800
2022-01-27,1089.2791748046875,1125.0225439533237,1089.2791748046875,1123.235375495892,45600
2022-01-28,1111.61865234375,1119.6609094748544,1100.895642835611,1115.192988846463,41900
2022-01-31,1133.9583740234375,1133.9583740234375,1108.044431669868,1111.6187685462223,23700
2022-02-01,1122.3416748046875,1138.4261892525253,1116.9801699887414,1133.9582685725704,23100
2022-02-02,1150.042724609375,1151.8298927905862,1125.9159541630245,1132.1710427972635,28900
2022-02-03,1133.064697265625,1150.9363801877957,1133.064697265625,1150.9363801877957,25300
2022-02-04,1146.468505859375,1150.9364267707522,1128.5968222138665,1137.5326640366206,38000
2022-02-07,1150.9364013671875,1157.1914905050526,1142.000559741666,1147.362064716979,52000
2022-02-08,1158.0850830078125,1159.8722513457876,1150.9364096559125,1158.9786671768002,29000
2022-02-09,1175.0631103515625,1178.6374468089057,1156.297843950511,1165.2336850938689,36500
