Price,Close,High,Low,Open,Volume
Ticker,9625.T,9625.T,9625.T,9625.T,9625.T
Date,,,,,
2022-01-04,916.93603515625,953.4310017296331,909.6370418415734,933.3587701142724,76000
2022-01-05,910.5493774414062,924.2349893267982,901.4256361844783,924.2349893267982,54300
2022-01-06,892.3018798828125,910.549362089005,886.8276352209548,910.549362089005,45500
2022-01-07,879.5286254882812,918.7607114799785,857.6316472603572,894.1266109735639,108600
2022-01-11,884.0905151367188,894.1266303756288,863.1059105462703,866.755406996783,61700
2022-01-12,909.636962890625,916.0235814866475,883.1781144213892,883.1781144213892,57800
2022-01-13,884.0905151367188,911.4617385155644,877.7038963483213,909.6369902903081,42900
2022-01-14,874.966796875,884.0905382397028,859.4564365550052,881.353415830292,37800
2022-01-17,859.4563598632812,883.1780852947519,857.6316117531682,883.1780852947519,28000
2022-01-18,862.1934814453125,876.7914663163443,852.1573668464782,858.5439852275546,46400
2022-01-19,836.6470336914062,853.9821412597124,831.1727891961517,852.1573930946275,66100
2022-01-20,866.7554321289062,878.616295936986,835.7347114000822,835.7347114000822,47500
2022-01-21,885.0028686523438,885.0028686523438,840.2965381740295,849.4202790879712,34500
2022-01-24,904.1627197265625,911.4617124186033,870.4048785258734,885.0028639099552,53200
2022-01-25,875.879150390625,916.9359855651855,859.4564163208007,904.1627479553223,71400
2022-01-26,885.0028686523438,895.0389836576796,866.7553868244604,874.0543795556138,35300
2022-01-27,828.4357299804688,897.7761655294947,812.925369397134,879.5286824902774,119900
2022-01-28,847.5955200195312,859.4563830553267,826.6109161869703,833.9099088243828,59600
2022-01-31,853.9821166992188,861.2811091496394,839.3841317983774,841.2088799109827,39300
2022-02-01,865.843017578125,879.5286290256191,849.4202838411321,853.0697802271305,87900
2022-02-02,921.497802734375,926.9720471070544,865.8429849454672,869.4924811939202,65800
2022-02-03,913.2864990234375,926.059736772017,894.1266424005682,920.5854920226258,76900
2022-02-04,967.1165161132812,974.4155086877211,922.4101865948371,925.1473088102521,122900
2022-02-07,974.4155883789062,1000.8744386251499,939.7453708148628,978.9774591110172,85400
2022-02-08,939.745361328125,984.4516940515018,936.0958647792779,984.4516940515018,70300
2022-02-09,950.69384765625,961.6423372645753,921.4978753673824,948.8690993881958,37600
2022-02-10,968.9412231445312,985.3639557402013,915.1111551920574,940.6576281186551,117800
2022-02-14,930.62158203125,985.3640280330882,911.4617259306066,984.4516539330576,173200
2022-02-15,903.2503662109375,960.7299349698153,901.42561799637,930.6215894294508,106800
2022-02-16,898.6884765625,937.9205623413706,891.3894838594542,928.7968214625635,145400
2022-02-17,881.3533935546875,906.8998687301856,871.3172783071703,904.1627463899537,81200
2022-02-18,894.1266479492188,899.6008927325813,862.1935533796037,862.1935533796037,49000
2022-02-21,885.9152221679688,892.3018406593959,866.7553666936872,881.3533518169493,24300
2022-02-22,864.018310546875,893.2142830257557,858.5440657070849,873.1420519465253,44300
2022-02-24,845.7708129882812,870.4049143374544,840.2965682440205,857.6316766008462,54600
2022-02-25,918.7606811523438,923.3225514659105,871.3172298912496,873.1419780166763,97900
2022-02-28,945.2195434570312,945.2195434570312,901.4255877756244,920.58544338624,46600
2022-03-01,989.9259033203125,1008.1733854091661,957.9928096648185,957.9928096648185,82000
2022-03-02,950.69384765625,981.7145682131718,937.9206097798705,959.8175889965211,51200
2022-03-03,977.1527709960938,993.5755066430869,965.2919063621542,970.7661515778186,31400
2022-03-04,952.5186157226562,978.0650920064056,912.3741529910501,971.6784729354683,70900
2022-03-07,911.4617309570312,925.1473425329627,887.7400042254169,925.1473425329627,78200
2022-03-08,905.9874877929688,932.4463368825923,886.8276315556552,897.7761208341201,60600
2022-03-09,903.2503662109375,926.0597188930318,887.7400063871133,907.8122367473563,65200
2022-03-10,1040.1064453125,1040.1064453125,946.1319156044408,968.0288934004934,284200
2022-03-11,1090.287109375,1090.287109375,1011.8229324660042,1024.5961705674686,344700
2022-03-14,1086.6375732421875,1135.9057755554352,1061.0910979686516,1114.0087967495474,165300
2022-03-15,1072.03955078125,1092.111780668218,1012.735235206117,1061.0910617519946,99900
2022-03-16,1345.7518310546875,1345.7518310546875,1345.7518310546875,1345.7518310546875,11800
2022-03-17,1619.4639892578125,1619.4639892578125,1509.9790998432,1619.4639892578125,1197600
2022-03-18,1568.37109375,1760.8820307955207,1545.561741019488,1686.0673538394415,2323700
2022-03-22,1509.9791259765625,1573.8453125737585,1462.5356730757883,1495.3811404686319,724500
2022-03-23,1496.2935791015625,1573.8453804574362,1478.0460964295921,1554.6855236518675,413000
2022-03-24,1437.901611328125,1447.9377266356182,1395.020027741563,1432.4273666149468,317500
2022-03-25,1438.81396484375,1460.7109433829066,1378.5972738610692,1436.9892166321536,272400
2022-03-28,1405.0560302734375,1450.6747325550425,1396.8446638627486,1450.6747325550425,141100
2022-03-29,1353.963134765625,1418.741694447808,1350.313638445502,1415.092198127685,252900
2022-03-30,1326.1610107421875,1366.9374499264336,1302.0658421333146,1320.6005872170629,193500
2022-03-31,1369.7176513671875,1390.1058708056707,1303.9193068157192,1315.0401537821645,181000
2022-04-01,1332.648193359375,1353.96315055497,1279.8241690050745,1353.96315055497,161700
2022-04-04,1351.1829833984375,1355.816669898432,1297.4322199984997,1315.0402286984793,67900
2022-04-05,1376.204833984375,1405.86042636653,1360.4503005313552,1370.644410412721,151700
2022-04-06,1465.171630859375,1564.3325192224067,1329.86798879393,1353.963157928872,1330100
2022-04-07,1328.0145263671875,1515.2154575089683,1304.846094295185,1439.2230003127997,1034900
2022-04-08,1214.9525146484375,1317.8203476964745,1207.5386167711015,1315.9668732271407,357800
2022-04-11,1214.02587890625,1259.4360072012166,1209.3921923455391,1214.9526162183922,253700
2022-04-12,1266.849853515625,1274.2637517073772,1190.857397050167,1202.904981611764,240400
2022-04-13,1328.9412841796875,1331.7214960712768,1263.1429360787406,1280.750944725473,200200
2022-04-14,1366.0107421875,1373.4246403811906,1309.4797684606087,1339.1353612353714,131500
2022-04-15,1371.5711669921875,1377.1315906421557,1324.3075659674566,1324.3075659674566,73500
2022-04-18,1329.867919921875,1377.1315184696211,1301.139065902657,1371.5710951110627,93600
2022-04-19,1314.1134033203125,1329.86793636435,1299.2856075141594,1329.86793636435,61500
2022-04-20,1295.5787353515625,1328.0145405999922,1288.1648370090643,1315.9669557934326,76000
2022-04-21,1283.5311279296875,1315.0401953301275,1268.703331505951,1303.9193480123251,76800
2022-04-22,1257.58251953125,1265.923155254007,1234.4140869680361,1260.3627314388357,72700
2022-04-25,1233.4873046875,1244.608151912331,1213.09908477531,1220.5129829251973,77200
