Price,Close,High,Low,Open,Volume
Ticker,9882.T,9882.T,9882.T,9882.T,9882.T
Date,,,,,
2022-01-04,1496.8897705078125,1513.160311491593,1489.6584189594655,1510.4485546609628,96000
2022-01-05,1491.466064453125,1509.5444409919508,1485.138632664536,1509.5444409919508,62600
2022-01-06,1494.1781005859375,1500.5055335587756,1474.291882671303,1477.0036396596622,108400
2022-01-07,1485.1385498046875,1505.024762887891,1477.9071995926136,1488.7542249107246,71000
2022-01-11,1482.4268798828125,1495.0817434915682,1464.3485032988758,1486.0425551995997,79400
2022-01-12,1490.5621337890625,1505.9287537250323,1489.6582149692997,1491.4660526088255,64900
2022-01-13,1477.9073486328125,1500.5053203244456,1477.9073486328125,1500.5053203244456,58900
2022-01-14,1469.7720947265625,1475.195607991236,1460.7329059521064,1475.195607991236,57900
2022-01-17,1470.6761474609375,1479.7153370581161,1467.964390581784,1469.7722285012196,28900
2022-01-18,1448.98193359375,1472.4838239701926,1448.98193359375,1472.4838239701926,49500
2022-01-19,1420.96044921875,1450.7897716260138,1420.96044921875,1443.5584207394045,116100
2022-01-20,1420.96044921875,1436.3270698527951,1419.1526114970977,1419.1526114970977,89100
2022-01-21,1434.5194091796875,1434.5194091796875,1401.074407201333,1402.882245146109,79300
2022-01-24,1458.0211181640625,1458.0211181640625,1423.6722015551138,1432.7113901364162,74300
2022-01-25,1435.4232177734375,1459.8290281511975,1428.1918665503974,1459.8290281511975,64300
2022-01-26,1434.5194091796875,1443.5585989035671,1427.2880574005837,1437.2311660968514,60000
2022-01-27,1395.6507568359375,1432.7114310783427,1391.131162416132,1426.383998890615,91200
2022-01-28,1429.0955810546875,1429.0955810546875,1408.305449261988,1414.6328806771576,75500
2022-01-31,1434.5194091796875,1443.5585989035671,1420.960624593868,1427.2880574005837,57800
2022-02-01,1474.2916259765625,1509.5444606872222,1458.9250057180698,1485.1386520413807,127100
2022-02-02,1493.274169921875,1501.4094408233866,1466.1566002501704,1479.7153850860227,95400
2022-02-03,1497.7935791015625,1504.1210112401932,1482.4269581934598,1486.946552578196,76900
2022-02-04,1523.1033935546875,1523.1033935546875,1490.5623121493647,1490.5623121493647,96200
2022-02-07,1513.1600341796875,1518.5835468469982,1493.2738210662149,1496.8894961777553,132200
2022-02-08,1500.5052490234375,1515.8718690435571,1492.3699796010212,1500.5052490234375,154000
2022-02-09,1502.3131103515625,1517.6797306138828,1495.9856784788424,1508.6405422242826,116600
2022-02-10,1494.1781005859375,1507.7368855277336,1487.8506676130992,1501.4094525548953,80900
2022-02-14,1491.466064453125,1497.7934962417141,1477.9072820490057,1485.138632664536,109900
2022-02-15,1485.1385498046875,1490.562062463743,1475.195443263086,1482.42679347516,74700
2022-02-16,1491.466064453125,1500.505252722538,1485.138632664536,1499.6013338955966,55500
