Price,Close,High,Low,Open,Volume
Ticker,9987.T,9987.T,9987.T,9987.T,9987.T
Date,,,,,
2022-01-04,3174.408447265625,3183.8420533496237,3141.390825971629,3160.2580381396265,180700
2022-01-05,3216.85986328125,3221.5766665998444,3160.2582234581196,3169.691830095308,108600
2022-01-06,3174.408447265625,3245.1604928956167,3150.8244320556278,3193.275659433623,194600
2022-01-07,3113.08984375,3179.1250828598486,3084.7890269886366,3150.8242660984847,197700
2022-01-11,3174.408447265625,3174.408447265625,3108.3732046776327,3113.090007719632,183000
2022-01-12,3231.009765625,3245.160173357664,3174.408134694343,3179.124937271898,183600
2022-01-13,3183.842041015625,3231.010071252894,3183.842041015625,3231.010071252894,128400
2022-01-14,3141.390869140625,3188.5589002088027,3089.5060349656296,3188.5589002088027,159000
2022-01-17,3169.69140625,3216.85943312872,3155.540998186384,3197.992222377232,67700
2022-01-18,3127.240234375,3179.125064809578,3117.8066288414407,3174.408262042798,89400
2022-01-19,3037.621337890625,3084.7893710876842,2995.1701080132716,3070.6389611285667,212500
2022-01-20,3084.789306640625,3108.37332274644,3018.754061544342,3018.754061544342,110300
2022-01-21,3127.240234375,3141.3906426753397,3065.9217984068628,3103.656220541101,92800
2022-01-24,3160.2578125,3169.6914179104474,3108.3729827425373,3108.3729827425373,72400
2022-01-25,3146.107421875,3155.5410273378934,3094.222591829085,3122.523408217766,82800
2022-01-26,3169.69140625,3249.8770519438244,3164.974603562128,3249.8770519438244,107900
2022-01-27,3141.390869140625,3193.2757033156204,3103.656444286083,3193.2757033156204,151900
2022-01-28,3216.85986328125,3221.5766665998444,3164.9750267767135,3164.9750267767135,108000
2022-01-31,3212.142578125,3221.5761833471,3174.408157236601,3193.2753676808,100900
2022-02-01,3216.85986328125,3259.311093148598,3193.2758466882788,3207.4262566440616,150600
2022-02-02,3245.160400390625,3273.461217835892,3179.1251596850016,3188.558765500091,229500
2022-02-03,3306.47900390625,3306.47900390625,3240.443759891004,3245.16056303495,167600
2022-02-04,3339.496337890625,3344.2131406277585,3287.611507782155,3306.4787187306897,153200
2022-02-07,3344.21337890625,3358.3637881258815,3292.328545100934,3292.328545100934,129200
2022-02-08,3377.230712890625,3405.5315289204345,3339.496291517545,3381.94751556226,166000
2022-02-09,3353.646728515625,3400.814755639614,3353.646728515625,3400.814755639614,178500
2022-02-10,3433.83251953125,3518.7349719372423,3396.098096239698,3419.6821107969176,213300
2022-02-14,3391.38134765625,3429.1157715522863,3344.2133177862047,3419.6821655782774,153500
2022-02-15,3381.94775390625,3414.9653749346235,3358.363738885983,3363.0805418900363,133900
2022-02-16,3400.81494140625,3419.682153286451,3358.3637146757974,3414.965350316401,140400
2022-02-17,3391.38134765625,3414.965362591273,3358.3637267472186,3396.0981506432545,87300
2022-02-18,3410.24853515625,3419.68214106263,3330.062884952023,3344.2132938115924,104300
2022-02-21,3400.81494140625,3400.81494140625,3348.9301087356966,3353.6469117057472,73600
2022-02-22,3363.08056640625,3372.514172483126,3273.461308675929,3278.1781117143673,104700
2022-02-24,3414.96533203125,3433.832543810428,3353.646893748921,3358.3636966937156,290700
2022-02-25,3400.81494140625,3490.4341978372054,3381.947729526049,3457.416577046853,175900
2022-02-28,3499.867919921875,3499.867919921875,3419.682266770026,3419.682266770026,214100
2022-03-01,3495.15087890625,3565.9029209893724,3476.283667684084,3542.318906961665,215500
2022-03-02,3466.85009765625,3495.1509147799748,3452.699689094388,3471.566900510204,190200
2022-03-03,3532.885498046875,3565.9031195239486,3495.151073501648,3504.5846796379547,224100
2022-03-04,3499.867919921875,3523.451935554772,3438.5494792763434,3509.301526175034,291100
2022-03-07,3462.13330078125,3490.4341179538487,3438.5492864707508,3447.9828921949506,284400
2022-03-08,3457.416259765625,3514.0178902119924,3429.115444542441,3457.416259765625,432300
2022-03-09,3462.13330078125,3499.867723678048,3443.2660893328507,3485.717315091749,347900
2022-03-10,3509.30126953125,3518.734875094506,3466.850044496598,3514.0180723128783,228500
2022-03-11,3495.15087890625,3504.584484517333,3476.283667684084,3490.4340761007084,247400
2022-03-14,3466.85009765625,3528.168534757653,3462.133294802296,3528.168534757653,121600
2022-03-15,3523.45166015625,3537.6020684299697,3452.6996187876503,3462.1332243034635,264200
2022-03-16,3532.885498046875,3561.1863164557953,3509.3014827061083,3537.6023011150282,204900
2022-03-17,3518.73486328125,3542.3188771102127,3495.1508494522873,3542.3188771102127,290700
2022-03-18,3476.283935546875,3523.451967236792,3452.6999197019168,3499.8679513918337,279800
2022-03-22,3518.73486328125,3551.752482641798,3495.1508494522873,3523.4516660470426,220000
2022-03-23,3608.35400390625,3622.5044117647058,3561.185977711397,3584.7699908088234,320900
2022-03-24,3556.46923828125,3631.9380815339023,3514.018013951633,3584.7700545009943,142100
2022-03-25,3570.619873046875,3584.7702820549866,3523.4518430198355,3556.469464038763,156100
2022-03-28,3561.18603515625,3603.637259416391,3547.0356270695365,3584.770048634106,138000
2022-03-29,3627.221435546875,3641.3718442681243,3547.035786126463,3589.4870122902107,358400
2022-03-30,3513.900634765625,3613.889677218305,3475.8095709741274,3609.128294244368,202700
2022-03-31,3456.763916015625,3547.2301892997807,3447.2411504067663,3490.0935956466296,188500
2022-04-01,3513.900634765625,3532.9461666613734,3413.9115923129443,3452.002656104442,188500
2022-04-04,3561.51416015625,3566.2755427233037,3513.900334485712,3513.900334485712,94300
2022-04-05,3561.51416015625,3604.3666032597343,3551.9913950221426,3599.6052206926806,174500
2022-04-06,3490.093505859375,3561.514246088421,3480.570740495502,3542.468715360675,137700
2022-04-07,3499.616455078125,3504.3778380102044,3456.7640086894135,3480.5709233498087,158600
2022-04-08,3551.991455078125,3556.7528377256826,3485.3320980123153,3504.377628602547,227300
2022-04-11,3547.230224609375,3585.321287423972,3513.900544646602,3580.5599045721474,116800
2022-04-12,3499.616455078125,3542.468901466837,3447.241242825255,3528.1847526705997,131800
2022-04-13,3613.8896484375,3613.8896484375,3509.139223845109,3509.139223845109,191900
2022-04-14,3575.79833984375,3575.79833984375,3547.230044185877,3566.275574624459,140600
2022-04-15,3580.559814453125,3590.082579917096,3523.4232216692985,3542.4687525972404,102300
2022-04-18,3585.3212890625,3594.8440547705013,3513.90054625249,3537.7074605224934,107200
2022-04-19,3590.08251953125,3618.650815442639,3561.514223619861,3618.650815442639,105200
2022-04-20,3651.980712890625,3651.980712890625,3585.3213517687623,3604.366883517866,120900
2022-04-21,3651.980712890625,3680.5490105142803,3642.457947016073,3666.264861702453,104100
2022-04-22,3628.173583984375,3637.6963492966697,3590.082522735195,3609.128053359785,94800
2022-04-25,3604.366943359375,3637.6966244736627,3580.560028277741,3580.560028277741,143700
